Platform,BTOAdTag,BTOPartnerInclude,BTOTMSTag,total
DEV,42159,8917,32153,83229
LIVE,24258,8688,10213,43159
mDEV,17298,0,0,17298
mLIVE,14976,0,6,14982
mSTAGE,17298,0,14292,31590
STAGE,44521,9293,32627,86441
